FID,F_id,power,ObjID,pop_densit,road,building_3,cluster_id,priority_s,a,POINT_X,POINT_Y
217,node/8497576941,tower,6574,0,499.9155477,0,1,-1.871383132,0.295849812,37745189.49,2572519.426
218,node/8497581713,tower,6712,0,497.3955078,0,1,-1.875556697,0.29417731,37745134.19,2572540.915
219,node/8497576947,tower,6580,0,490.8157654,0,1,-1.886527146,0.289781043,37745023.53,2573052.966
220,node/8497581714,tower,6713,0,490.8157654,0,1,-1.886527146,0.289781043,37744922.85,2573060.317
221,node/8497576942,tower,6575,0,490.8157654,0,1,-1.886527146,0.289781043,37744975.16,2573070.745
222,node/8497576946,tower,6579,0,490.8157654,0,1,-1.886527146,0.289781043,37744950.48,2573234.244
223,node/8497576943,tower,6576,0,487.8630168,0,1,-1.891484427,0.287794477,37744906.41,2573241.166
224,node/8550563070,tower,11162,6891.651784,1093.985982,0.000111364,1,-0.528673811,0.833923301,37743580.31,2562798.59
225,node/8550563071,tower,11163,3072.166756,1023.606918,0.000106022,1,-0.415044258,0.879458882,37743818.2,2562810.954
226,node/8550563072,tower,11164,2729.114511,1055.60083,0.000102049,1,-0.475108635,0.855388856,37744073.02,2562821.405
227,node/8550563086,tower,11178,14678.55515,1232.174377,0.000130144,1,-1.099598939,0.6051324,37743129.74,2562847.416
228,node/8550563087,tower,11179,13261.71112,1192.567057,0.000130144,1,-0.98018732,0.65298507,37743125.44,2562993.058
229,node/3230307797,tower,531,14744.87008,1232.174377,0.000134305,1,-1.131429078,0.592376881,37743045.78,2562995.219
230,node/8550563090,tower,11182,11920.10903,1139.450974,0.00012101,1,-0.767481516,0.738224185,37743231.71,2563008.867
231,node/8550563089,tower,11181,7746.094177,1094.296402,0.000108769,1,-0.514394854,0.839645409,37743509.8,2563016.95
232,node/8550563091,tower,11183,2085.094498,996.2114461,9.57927E-05,1,-0.384904974,0.891536813,37744003.74,2563031.316
233,node/8550563088,tower,11180,12150.93601,1139.450974,0.000118006,1,-0.752612646,0.744182693,37743191.68,2563035.825
234,node/8550563066,tower,11158,1736.941105,1000.378662,8.89198E-05,1,-0.420874278,0.877122577,37744443.25,2563053.951
235,node/8550563094,tower,11186,1099.297527,1019.580048,8.96468E-05,1,-0.479988479,0.853433321,37744260.36,2563066.13
236,node/8550563073,tower,11165,1767.547996,1015.36673,8.4877E-05,1,-0.458712025,0.861959587,37744500.56,2563146.025
237,node/8550563096,tower,11188,1722.912946,913.8996379,8.72865E-05,1,-0.367876817,0.898360628,37744414.15,2563169.327
